actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,iteration,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,rollout_seed,source_action_ids_json,step_index,torch_seed
2,"PASS,RON,PON,CHI",7c4d5c31,[],[42],"""""",0,"""""",2,"[""5|tile=22|consumed=22,22|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",224,202604330000
0,"PASS,RON,PON,CHI",dfd0c3c2,[],[42],"""""",0,"""""",2,"[""5|tile=31|consumed=31,31|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",141,202604330000
0,"PASS,RON,PON,CHI",31182af9,[],[42],"""""",0,"""""",2,"[""5|tile=25|consumed=25,25|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",213,202604330000
1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",e9a36a9e,[],[42],"""""",0,"""""",4,"[""0|tile=9|consumed=|from=-1|flags=1"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=30|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[9,16,24,30,42]",0,,202604330000,"[[9],[24],[16],[30]]",226,202604330000
2,"PASS,RON,PON,CHI",e9a36a9e,[],[42],"""""",0,"""""",2,"[""5|tile=20|consumed=20,20|from=0|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",248,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",00945475,[],[42],"""""",0,"""""",10,"[""0|tile=1|consumed=|from=-1|flags=1"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=33|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=31|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[1,4,6,7,15,16,20,31,32,33,42]",0,,202604330000,"[[1],[20],[4,34],[6],[15],[7],[16],[33],[32],[31]]",153,202604330000
2,"PASS,RON,PON,CHI",bf943bbd,[],[42],"""""",0,"""""",2,"[""5|tile=26|consumed=26,26|from=0|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",64,202604330000
2,"PASS,RON,PON,CHI",5418c986,[],[42],"""""",0,"""""",2,"[""5|tile=28|consumed=28,28|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",245,202604330000
1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",5418c986,[],[42],"""""",0,"""""",4,"[""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=31|consumed=|from=-1|flags=1""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[24,25,27,31,42]",0,,202604330000,"[[24],[25],[27],[31]]",276,202604330000
2,"PASS,RON,PON,CHI",9de83a1e,[],[42],"""""",0,"""""",2,"[""5|tile=28|consumed=28,28|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",253,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",9de83a1e,[],[42],"""""",0,"""""",9,"[""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=1"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[6,7,14,16,17,23,25,26,29,42]",0,,202604330000,"[[14],[23],[6],[7],[16],[25],[17],[26],[29]]",262,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",9de83a1e,[],[42],"""""",0,"""""",8,"[""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0"",""0|tile=33|consumed=|from=-1|flags=1"",""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=28|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[6,22,24,25,26,27,28,33,42]",0,,202604330000,"[[22,36],[6],[24],[25],[26],[33],[27],[28]]",270,202604330000
