actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,iteration,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,rollout_seed,source_action_ids_json,step_index,torch_seed
0,"PASS,RON,PON,CHI",5696980d,[],[42],"""""",0,"""""",2,"[""5|tile=32|consumed=32,32|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",61,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",5696980d,[],[42],"""""",0,"""""",9,"[""0|tile=1|consumed=|from=-1|flags=0"",""0|tile=11|consumed=|from=-1|flags=0"",""0|tile=3|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=1"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[1,3,6,7,8,11,15,29,32,42]",0,,202604330000,"[[1],[11],[3],[6],[15],[7],[8],[32],[29]]",78,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",d6e801e7,[],[42],"""""",0,"""""",9,"[""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[0,6,7,18,20,24,25,27,29,42]",0,,202604330000,"[[0],[18],[20],[6],[24],[7],[25],[27],[29]]",27,202604330000
0,"PASS,RON,PON,CHI",4ed1d0ba,[],[42],"""""",0,"""""",2,"[""5|tile=31|consumed=31,31|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",61,202604330000
0,"PASS,RON,PON,CHI",2bc34dc6,[],[42],"""""",0,"""""",2,"[""5|tile=8|consumed=8,8|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",265,202604330000
0,"PASS,RON,PON,CHI",5dbddeff,[],[42],"""""",0,"""""",2,"[""5|tile=8|consumed=8,8|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",155,202604330000
0,"PASS,RON,PON,CHI",a93a95f1,[],[42],"""""",0,"""""",2,"[""5|tile=17|consumed=17,17|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",71,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",b40e650c,[],[42],"""""",0,"""""",9,"[""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=1"",""0|tile=31|consumed=|from=-1|flags=0"",""0|tile=28|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[5,6,8,22,24,26,27,28,31,42]",0,,202604330000,"[[22,36],[5],[6],[24],[8],[26],[27],[31],[28]]",75,202604330000
0,"PASS,RON,PON,CHI",01e17464,[],[42],"""""",0,"""""",2,"[""5|tile=22|consumed=22,22|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",232,202604330000
0,"PASS,RON,PON,CHI",84c79362,[],[42],"""""",0,"""""",2,"[""5|tile=2|consumed=2,2|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",138,202604330000
