config_id,source_type,rerun_config_id,source_config_id,source_report,config_key,config_key_label,iteration,seed,rule_kl_coef,entropy_coef,lr,opponent_mode,update_epochs,value_coef,rank_coef,normalize_advantages,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,learner_win_rate,learner_deal_in_rate,learner_call_rate,learner_riichi_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed,illegal_attempt_count,fallback_policy_count,forced_terminal_preempt_count,forced_terminal_missed_count,autopilot_terminal_count,learner_seat_step_count,learner_controlled_step_count,rulebase_fallback_count,rulebase_chosen_missing_count,rulebase_chosen_not_found_count,rulebase_batch_unsupported_count,pre_update_advantage_mean,pre_update_advantage_std,pre_update_advantage_min,pre_update_advantage_max,pre_update_return_mean,pre_update_return_std,pre_update_return_min,pre_update_return_max,pre_update_selected_non_top1_positive_advantage_count,pre_update_mean_delta_needed_to_flip_top1,pre_update_actor_grad_norm,pre_update_policy_mlp_final_grad_norm,diagnostic_seed_registry_id,diagnostic_seed_hash,actual_update_probe_lr,actual_update_probe_update_epochs,actual_update_probe_post_update_kl_vs_old,actual_update_probe_top1_changed_rate,actual_update_probe_neural_delta_abs_max,actual_update_probe_ratio_std,actual_update_probe_clip_fraction,standard_probe_lr3e_4_epoch1_lr,standard_probe_lr3e_4_epoch1_update_epochs,standard_probe_lr3e_4_epoch1_post_update_kl_vs_old,standard_probe_lr3e_4_epoch1_top1_changed_rate,standard_probe_lr3e_4_epoch1_neural_delta_abs_max,standard_probe_lr3e_4_epoch1_ratio_std,standard_probe_lr3e_4_epoch1_clip_fraction,post_update_advantage_mean,post_update_advantage_std,post_update_advantage_min,post_update_advantage_max,post_update_return_mean,post_update_return_std,post_update_return_min,post_update_return_max,post_update_selected_non_top1_positive_advantage_count,post_update_mean_delta_needed_to_flip_top1,post_update_actor_grad_norm,post_update_policy_mlp_final_grad_norm,post_update_kl_vs_old,post_update_ratio_mean,post_update_ratio_std,post_update_clip_fraction,post_update_top1_action_changed_rate,post_update_rule_agreement,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,return_min,return_max,selected_non_top1_positive_advantage_count,mean_delta_needed_to_flip_top1,actor_grad_norm_total,policy_mlp_final_grad_norm,pre_update_probe_top1_changed_rate,illegal_action_rate,fallback_rate,forced_terminal_missed
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,0,20260425,0.0,0.0,0.001,rulebase,4,0.0,0.0,True,0.0643313080072403,0.7423529028892517,1.4261730909347534,1.984984550063018e-07,0.9999999403953552,0.003363105235621333,0.008600424975156784,0.0,0.34375,0.1875,0.0625,0.0625,0.0,0.0,0.0625,850,16,0.0,0.0,0,,,10,0,10,847,219,0,0,0,0,0.0014970565680414438,0.6940035223960876,-1.5553756952285767,1.0385122299194336,-0.0021693578455597162,0.6912249326705933,-1.5,1.0,58,3.0005481243133545,0.0014923311936181685,0.0014923311935995697,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,4,0.06430943310260773,0.0,0.008600426837801933,0.15025846660137177,0.7423529028892517,0.0003,1,0.06436578184366226,0.0,0.0007810620591044426,0.15029458701610565,0.7423529028892517,0.0014970565680414438,0.6940035223960876,-1.5553756952285767,1.0385122299194336,-0.0021693578455597162,0.6912249326705933,-1.5,1.0,58,3.0005481243133545,0.003227952208010858,0.0032158631862804574,0.06430943310260773,0.7490299940109253,0.15025846660137177,0.7423529028892517,0.0,0.9999999403953552,0.0014970565680414438,0.6940035223960876,-1.5553756952285767,1.0385122299194336,-0.0021693578455597162,0.6912249326705933,-1.5,1.0,58,3.0005481243133545,0.0014923311936181685,0.0014923311935995697,0.0,0.0,0.0,0
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,1,20270425,0.0,0.0,0.001,rulebase,4,0.0,0.0,True,0.06087028235197067,0.7416666746139526,1.389766812324524,1.25853921417729e-06,1.0,0.004632313270121813,0.014867142774164677,0.0,0.25,0.25,0.125,0.0625,0.0,0.0,0.0625,840,16,0.0,0.0,0,,,10,0,10,837,217,0,0,0,0,0.0062881107442080975,0.7020620107650757,-1.5213847160339355,1.1164946556091309,-0.004614435136318207,0.6966671347618103,-1.5,1.0,59,3.0006511211395264,0.0020061600509609597,0.001985999458647342,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,4,0.06086675450205803,0.0,0.015976322814822197,0.14752109348773956,0.7416666746139526,0.0003,1,0.06093544140458107,0.0,0.008889487944543362,0.1475599855184555,0.7416666746139526,0.0062881107442080975,0.7020620107650757,-1.5213847160339355,1.1164946556091309,-0.004614435136318207,0.6966671347618103,-1.5,1.0,59,3.0006511211395264,0.0030618948703214845,0.003007100110135567,0.060840070247650146,0.7552021741867065,0.14746816456317902,0.7416666746139526,0.0,1.0,0.0062881107442080975,0.7020620107650757,-1.5213847160339355,1.1164946556091309,-0.004614435136318207,0.6966671347618103,-1.5,1.0,59,3.0006511211395264,0.0020061600509609597,0.001985999458647342,0.0,0.0,0.0,0
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,2,20280425,0.0,0.0,0.001,rulebase,4,0.0,0.0,True,0.06152500957250595,0.7430167198181152,1.4161983728408813,5.335549303708831e-06,1.0,0.0042847683653235435,0.024715429171919823,0.0,0.3125,0.1875,0.0625,0.125,0.0,0.0,0.125,895,16,0.0,0.0,0,,,11,0,11,893,230,0,0,0,0,0.011696437373757362,0.697375476360321,-1.5,1.1239908933639526,-0.00564331840723753,0.6891540288925171,-1.5,1.0,65,3.000575304031372,0.002428110214415387,0.002370693558604136,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,4,0.061420928686857224,0.0,0.03312581777572632,0.14743182063102722,0.7430167198181152,0.0003,1,0.0616498664021492,0.0,0.013944818638265133,0.14751750230789185,0.7430167198181152,0.011696437373757362,0.697375476360321,-1.5,1.1239908933639526,-0.00564331840723753,0.6891540288925171,-1.5,1.0,65,3.000575304031372,0.00503381399511046,0.004908276633579516,0.061456099152565,0.7534553408622742,0.1473720371723175,0.7430167198181152,0.0,1.0,0.011696437373757362,0.697375476360321,-1.5,1.1239908933639526,-0.00564331840723753,0.6891540288925171,-1.5,1.0,65,3.000575304031372,0.002428110214415387,0.002370693558604136,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.003,0,20360425,0.0,0.0,0.003,rulebase,4,0.0,0.0,True,0.06354329735040665,0.7409024834632874,1.425640344619751,3.855051090795314e-06,1.0,0.02356872893869877,0.09282636642456055,0.0,-0.25,0.4375,0.0625,0.25,0.0,0.0,0.25,687,16,0.0,0.0,0,,,13,0,13,686,178,0,0,0,0,0.035857293754816055,0.7241500616073608,-1.5,1.238847255706787,-0.020699037238955498,0.7297064065933228,-1.5,1.0,42,3.000605583190918,0.002455746548600384,0.0024557465485950418,base=202604250000:stride=1:count=16,0f42628c88353290,0.003,4,0.06342131644487381,0.0,0.09302268922328949,0.14924196898937225,0.7409024834632874,0.0003,1,0.06362692266702652,0.0,0.0005454429192468524,0.14976687729358673,0.7409024834632874,0.035857293754816055,0.7241500616073608,-1.5,1.238847255706787,-0.020699037238955498,0.7297064065933228,-1.5,1.0,42,3.000605583190918,0.013120762150540352,0.01287428170261748,0.0634213238954544,0.7502776384353638,0.14924198389053345,0.7409024834632874,0.0,1.0,0.035857293754816055,0.7241500616073608,-1.5,1.238847255706787,-0.020699037238955498,0.7297064065933228,-1.5,1.0,42,3.000605583190918,0.002455746548600384,0.0024557465485950418,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.003,1,20370425,0.0,0.0,0.003,rulebase,4,0.0,0.0,True,0.0603264644742012,0.7431628704071045,1.3966156244277954,0.0005476400256156921,1.0,0.17699486017227173,0.6929596662521362,0.0,0.0,0.3125,0.0,0.125,0.0,0.0,0.125,841,16,0.0,0.0,0,,,12,0,12,836,218,0,0,0,0,0.05831456556916237,0.7135301232337952,-1.5,1.3528709411621094,-0.02971370704472065,0.7030596733093262,-1.5,1.0,45,3.000542163848877,0.008403960836285753,0.008054058246298105,base=202604250000:stride=1:count=16,0f42628c88353290,0.003,4,0.05863562971353531,0.0,0.8351120352745056,0.155094712972641,0.7657550573348999,0.0003,1,0.06189968064427376,0.0,0.10204070806503296,0.14862535893917084,0.740784764289856,0.05831456556916237,0.7135301232337952,-1.5,1.3528709411621094,-0.02971370704472065,0.7030596733093262,-1.5,1.0,45,3.000542163848877,0.03771736330795847,0.03533228208812368,0.05935967341065407,0.7613538503646851,0.15229563415050507,0.7550535202026367,0.0,1.0,0.05831456556916237,0.7135301232337952,-1.5,1.3528709411621094,-0.02971370704472065,0.7030596733093262,-1.5,1.0,45,3.000542163848877,0.008403960836285753,0.008054058246298105,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.003,2,20380425,0.0,0.0,0.003,rulebase,4,0.0,0.0,True,0.05132583528757095,0.7868675589561462,1.3030543327331543,0.01047598011791706,1.0,0.3961516320705414,1.815397024154663,0.0,0.3125,0.1875,0.0,0.0625,0.0,0.0,0.0625,929,16,0.0,0.0,0,,,10,0,10,925,239,0,0,0,0,0.10974579304456711,0.7527538537979126,-1.5,1.6022388935089111,-0.04595448821783066,0.6739948987960815,-1.5,1.0,68,3.000589609146118,0.013842544706494023,0.011086295875178011,base=202604250000:stride=1:count=16,0f42628c88353290,0.003,4,0.049657877534627914,0.0,1.3340383768081665,0.15247493982315063,0.7954789996147156,0.0003,1,0.05457214266061783,0.0,0.6325355172157288,0.14145229756832123,0.7427341341972351,0.10974579304456711,0.7527538537979126,-1.5,1.6022388935089111,-0.04595448821783066,0.6739948987960815,-1.5,1.0,68,3.000589609146118,0.029367191664820057,0.0232653842199271,0.05059702321887016,0.7835091352462769,0.15189063549041748,0.8030139803886414,0.0,1.0,0.10974579304456711,0.7527538537979126,-1.5,1.6022388935089111,-0.04595448821783066,0.6739948987960815,-1.5,1.0,68,3.000589609146118,0.013842544706494023,0.011086295875178011,0.0,0.0,0.0,0
2,retrained_config,2,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.005,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.005/lr=0.001,0,20460425,0.0,0.005,0.001,rulebase,4,0.0,0.0,True,0.0607261061668396,0.7416762113571167,1.4021079540252686,3.0792196525908366e-07,1.0,0.0029337743762880564,0.01036331057548523,0.0,-0.28125,0.4375,0.0625,0.125,0.0,0.0,0.125,871,16,0.0,0.0,0,,,14,0,14,867,225,0,0,0,0,0.015383618883788586,0.6982890963554382,-1.5,1.1851673126220703,-0.0152199761942029,0.7030790448188782,-1.5,1.0,45,3.000570297241211,0.0023844749275378206,0.002384474927536184,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,4,0.06071064621210098,0.0,0.010254230350255966,0.14709733426570892,0.7416762113571167,0.0003,1,0.06074702367186546,0.0,0.0005406390409916639,0.14713823795318604,0.7416762113571167,0.015383618883788586,0.6982890963554382,-1.5,1.1851673126220703,-0.0152199761942029,0.7030790448188782,-1.5,1.0,45,3.000570297241211,0.004805903935697668,0.004788862831556837,0.06071145460009575,0.7551105618476868,0.14709830284118652,0.7416762113571167,0.0,1.0,0.015383618883788586,0.6982890963554382,-1.5,1.1851673126220703,-0.0152199761942029,0.7030790448188782,-1.5,1.0,45,3.000570297241211,0.0023844749275378206,0.002384474927536184,0.0,0.0,0.0,0
2,retrained_config,2,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.005,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.005/lr=0.001,1,20470425,0.0,0.005,0.001,rulebase,4,0.0,0.0,True,0.061317410320043564,0.7425414323806763,1.414036512374878,2.601254436740419e-06,0.9999999403953552,0.005579542368650436,0.022151142358779907,0.0,0.0625,0.3125,0.0,0.0625,0.0,0.0,0.0625,905,16,0.0,0.0,0,,,10,0,10,903,233,0,0,0,0,0.0257268026471138,0.6934258937835693,-1.5,1.209275245666504,-0.011781877838075161,0.6890044808387756,-1.5,1.0,54,3.0005578994750977,0.0025636155255235023,0.002545931159216567,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,4,0.06128120794892311,0.0,0.013738550245761871,0.14763222634792328,0.7425414323806763,0.0003,1,0.06137465685606003,0.0,0.010221118107438087,0.14764715731143951,0.7425414323806763,0.0257268026471138,0.6934258937835693,-1.5,1.209275245666504,-0.011781877838075161,0.6890044808387756,-1.5,1.0,54,3.0005578994750977,0.004881427194357063,0.004816347434370925,0.061283864080905914,0.754218339920044,0.1476525068283081,0.7425414323806763,0.0,0.9999999403953552,0.0257268026471138,0.6934258937835693,-1.5,1.209275245666504,-0.011781877838075161,0.6890044808387756,-1.5,1.0,54,3.0005578994750977,0.0025636155255235023,0.002545931159216567,0.0,0.0,0.0,0
2,retrained_config,2,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.005,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.005/lr=0.001,2,20480425,0.0,0.005,0.001,rulebase,4,0.0,0.0,True,0.06532415747642517,0.7432286143302917,1.4307981729507446,1.6300351489917375e-05,1.0,0.014167848974466324,0.052491381764411926,0.0,0.21875,0.25,0.0625,0.0,0.0,0.0,0.0,923,16,0.0,0.0,0,,,10,0,10,921,237,0,0,0,0,0.012277569621801376,0.689964771270752,-1.5,1.1647237539291382,-0.004645608831197023,0.685688316822052,-1.5,1.0,51,3.00048828125,0.00526113004675809,0.005192748858793661,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,4,0.06515618413686752,0.0,0.07495797425508499,0.15066638588905334,0.7432286143302917,0.0003,1,0.06552986800670624,0.0,0.024237630888819695,0.15075653791427612,0.7432286143302917,0.012277569621801376,0.689964771270752,-1.5,1.1647237539291382,-0.004645608831197023,0.685688316822052,-1.5,1.0,51,3.00048828125,0.010409230054046708,0.01018728457190912,0.06520646810531616,0.7470531463623047,0.1505950689315796,0.7432286143302917,0.0,1.0,0.012277569621801376,0.689964771270752,-1.5,1.1647237539291382,-0.004645608831197023,0.685688316822052,-1.5,1.0,51,3.00048828125,0.00526113004675809,0.005192748858793661,0.0,0.0,0.0,0
3,retrained_config,3,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.005,""lr"":0.003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0.005/lr=0.003,0,20560425,0.0,0.005,0.003,rulebase,4,0.0,0.0,True,0.06446917355060577,0.7423529028892517,1.4208409786224365,1.450222589483019e-05,0.9999999403953552,0.010291907005012035,0.04601410776376724,0.0,0.0625,0.3125,0.0625,0.1875,0.0,0.0,0.1875,850,16,0.0,0.0,0,,,11,0,11,849,219,0,0,0,0,-0.0515565499663353,0.6990468502044678,-1.816573977470398,1.0,0.01635078340768814,0.7032615542411804,-1.5,1.0,48,3.000586986541748,0.004434572035247046,0.004434572035245848,base=202604250000:stride=1:count=16,0f42628c88353290,0.003,4,0.06399424374103546,0.0,0.04824372008442879,0.14981676638126373,0.7423529028892517,0.0003,1,0.06493807584047318,0.0,0.0004874259466305375,0.15071168541908264,0.7423529028892517,-0.0515565499663353,0.6990468502044678,-1.816573977470398,1.0,0.01635078340768814,0.7032615542411804,-1.5,1.0,48,3.000586986541748,0.01975946037894272,0.019317348231132358,0.06399767100811005,0.749367356300354,0.14981016516685486,0.7423529028892517,0.0,0.9999999403953552,-0.0515565499663353,0.6990468502044678,-1.816573977470398,1.0,0.01635078340768814,0.7032615542411804,-1.5,1.0,48,3.000586986541748,0.004434572035247046,0.004434572035245848,0.0,0.0,0.0,0
